product_id,brand,category,sub_category,price_bucket,price,intrinsic_quality,brand_strength,review_count,rating,num_purchases,color,size,delivery_days
1,Nike,Footwear,Sports Shoes,price_low,1360,0.4125673885483874,0.6766994874229113,2,,207,Blue,UK12,4
2,Nike,Clothing,Tshirts,price_mid,2040,0.7031191803554125,0.7160196129224035,99,3.792660041274865,4394,Black,M,4
3,H&M,Footwear,Sneakers,price_mid,3460,0.5714321126135298,0.3402505165179919,57,3.283967505520188,2910,Purple,UK4,1
4,Puma,Footwear,Sports Shoes,price_low,710,0.2915924784188603,0.45942487967184253,31,2.162070341900462,2409,Black,UK4,5
5,Levis,Clothing,Dresses,price_low,420,0.45302583210434877,0.06955514882374092,0,,46,Pink,S,7
6,Nike,Clothing,Shirts,price_mid,1830,0.4164553182150568,0.37018096711688264,20,2.6251451650079107,1948,Pink,S,5
7,Adidas,Footwear,Sneakers,price_mid,3340,0.6175478177086268,0.9253911796212178,45,3.4502316474059285,3020,Yellow,UK8,7
8,MAC,Cosmetics,Sunscreen,price_mid,1460,0.5366165754826435,0.06618860521154724,9,3.0896722554951195,258,Purple,Small,6
9,Zara,Footwear,Sandals,price_low,880,0.20503308584343774,0.7449889820916066,42,1.825767365168723,1707,Black,UK12,4
10,Zara,Footwear,Sneakers,price_mid,4340,0.4986138585213055,0.8611029096666658,0,,0,Green,UK10,5
11,Libas,Clothing,Dresses,price_mid,2070,0.5907647538745314,0.8607797022344981,66,3.348438760867336,2971,Blue,XXL,7
12,Levis,Clothing,Tshirts,price_mid,1770,0.25973497322538314,0.9538159275210801,33,2.0656281045202083,2379,Pink,XXL,7
13,Zara,Clothing,Dresses,price_low,630,0.4915577367812767,0.6089702114381723,3,,317,Green,XXL,7
14,Levis,Accessories,Watches,price_mid,1370,0.418787933099357,0.36298076718093353,103,2.6937461603581596,4346,Pink,Small,1
15,Levis,Clothing,Tshirts,price_mid,2180,0.4573245764628893,0.9779844936773342,0,,0,Green,M,6
16,Adidas,Footwear,Sports Shoes,price_high,11520,0.3322467764249057,0.21179820544208205,33,2.3199110069983826,1722,Yellow,UK8,4
17,Zara,Accessories,Watches,price_mid,1460,0.27945188155144746,0.22469733703155736,35,2.096612309028654,1388,Brown,Small,5
18,Nike,Clothing,Jeans,price_low,800,0.34471712622692235,0.8596354002537465,42,2.4058240650240834,1806,Yellow,L,6
19,Adidas,Footwear,Sandals,price_high,12480,0.8896142533509432,0.2429972423957245,103,4.55962563672252,3890,Black,UK6,1
20,Libas,Clothing,Shirts,price_mid,1690,0.41118454601328047,0.6733645472933015,88,2.6612727566205465,3301,Blue,S,4
21,SwissBeauty,Cosmetics,Lipstick,price_low,230,0.34239824278473935,0.14018229709477448,44,2.399409878016617,2246,White,Small,7
22,H&M,Accessories,Belts,price_mid,1010,0.7184221179206931,0.9992824684127266,101,3.857516122989502,4332,Blue,Small,2
23,Puma,Footwear,Flats,price_high,8660,0.8361047133429375,0.002155378351426429,46,4.352976582788725,2563,White,UK8,4
24,SwissBeauty,Cosmetics,Sunscreen,price_mid,930,0.42340701700606587,0.18989786726763713,29,2.727345036270153,1778,Red,Large,6
25,Adidas,Footwear,Sneakers,price_mid,3910,0.5915899576918576,0.8527198920482854,73,3.3555206434257006,4765,Brown,UK4,7
26,Levis,Clothing,Kurtis,price_low,380,0.6304407007706788,0.8902873141294375,88,3.5112803058577993,3833,Red,XXL,1
27,Adidas,Footwear,Sports Shoes,price_high,9830,0.3892677296944622,0.7161918007894148,66,2.577417477076769,2349,Black,UK6,6
28,Puma,Footwear,Boots,price_high,6250,0.466843334227317,0.6211592554930928,34,2.863152696568448,3119,Blue,UK4,5
29,Adidas,Clothing,Dresses,price_high,7980,0.8629418742894248,0.36952708873888396,53,4.444085780221278,4563,Brown,L,5
30,Zara,Accessories,Watches,price_mid,2200,0.24564750075123512,0.9317560394360774,32,1.9985770745292208,1476,Green,Medium,1
31,Zara,Accessories,Bags,price_low,380,0.6487522363504442,0.34288028779325863,9,3.6398062948034045,389,Pink,Large,4
32,Zara,Clothing,Tshirts,price_mid,2300,0.7221618458758313,0.04408676179905002,12,3.904613496418619,553,Green,L,2
33,Maybelline,Cosmetics,Foundation,price_low,150,0.3504512785659281,0.883106393300143,11,2.3555017325113328,641,Brown,Small,7
34,Adidas,Footwear,Sports Shoes,price_low,1110,0.6336469145858118,0.9330880105206542,74,3.5135728251778726,3743,Red,UK8,2
35,Maybelline,Cosmetics,Foundation,price_mid,1380,0.7642985395497363,0.973837022637289,120,4.073402787859284,5000,Yellow,Small,7
36,SwissBeauty,Cosmetics,Lipstick,price_mid,830,0.5253692534959915,0.9308158860483255,73,3.122144833050336,3768,Yellow,Medium,2
37,MAC,Cosmetics,Sunscreen,price_high,4580,0.7721090681621106,0.816586605596929,60,4.098397087939881,3975,Pink,Small,2
38,Puma,Clothing,Shirts,price_high,8000,0.5981437770940142,0.2791249927218714,40,3.410056998990765,2280,Black,XXL,3
39,Nike,Accessories,Belts,price_low,700,0.1725197816305707,0.2654663625229686,0,,0,Black,Medium,6
40,Maybelline,Cosmetics,Sunscreen,price_low,350,0.20621787133845487,0.19007877450229604,8,1.800640992988497,550,Black,Small,5
41,H&M,Accessories,Caps,price_mid,1960,0.3738940160547449,0.3642214717812642,5,2.5649306968436645,284,Purple,Large,3
42,MAC,Cosmetics,Sunscreen,price_mid,1730,0.5072044649170182,0.32618290485739987,10,2.9841165125650915,331,Brown,Small,2
43,Zara,Footwear,Sandals,price_high,12210,0.7813689212801792,0.3009498745655653,122,4.12099451282489,4010,Red,UK8,3
44,H&M,Clothing,Jeans,price_low,460,0.08562601133098904,0.6756272331900999,40,1.347024396342165,2733,Green,S,3
45,Adidas,Footwear,Sports Shoes,price_mid,4520,0.6028412972314606,0.672795670557167,36,3.435938464138473,2198,Yellow,UK6,1
46,Zara,Clothing,Jeans,price_mid,1850,0.5668837631603914,0.8861369090509815,5,3.216876325579045,721,Black,XL,4
