user_id,persona_type,avg_budget
1,Budget,2208
2,Budget,2832
3,Budget,1453
4,Budget,1821
5,Budget,2168
6,Budget,1829
7,Budget,2748
8,Budget,2091
9,Budget,509
10,Budget,1068
11,Budget,2561
12,Budget,2429
13,Budget,804
14,Budget,1711
15,Budget,2640
16,Budget,2547
17,Budget,2515
18,Budget,961
19,Budget,1362
20,Budget,1077
21,Budget,1077
22,Budget,1222
23,Budget,675
24,Budget,1500
25,Budget,1210
26,Budget,1650
27,Budget,1833
28,Budget,2169
29,Budget,2533
30,Budget,2581
31,Budget,1634
32,Budget,2829
33,Budget,887
34,Budget,320
35,Budget,2832
36,Budget,2277
37,Budget,2187
38,Budget,1093
39,Budget,1835
40,Budget,2737
41,Budget,1742
42,Budget,2038
43,Budget,1633
44,Budget,1703
45,Budget,416
46,Budget,2854
47,Budget,704
48,Budget,816
49,Budget,2970
50,Budget,1812
51,Quality,8285
52,Quality,13865
53,Quality,3453
54,Quality,9700
55,Quality,10643
56,Quality,4601
57,Quality,12680
58,Quality,11664
59,Quality,12899
60,Quality,9469
61,Quality,11555
62,Quality,14309
63,Quality,14879
64,Quality,8033
65,Quality,8094
66,Quality,10306
67,Quality,4344
68,Quality,8536
69,Quality,5655
70,Quality,6814
71,Quality,4558
72,Quality,5308
73,Quality,12841
74,Quality,7448
75,Quality,10945
76,Quality,14932
77,Quality,3331
78,Quality,10328
79,Quality,4711
80,Quality,6187
81,Quality,3480
82,Quality,10361
83,Quality,7641
84,Quality,6064
85,Quality,6254
86,Quality,5834
87,Quality,5121
88,Quality,5970
89,Quality,4152
90,Quality,9386
91,Quality,7260
92,Quality,5452
93,Quality,14080
94,Quality,13091
95,Quality,14023
96,Quality,6931
97,Quality,6766
98,Quality,11869
99,Quality,14204
100,Quality,12534
